Name,Price,Rate,property,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony,city,location,Rate_per_sqft,bedroom,carpet_area_sqft,total_area,Area_Unit,Area,Property_Type,carpet_area(in sqft),Z_Score,total_area(sqft)
"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",21500000,6808.0,Garg Associates,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,5.0,2.0,Noida, Nirala Aspire Phase 4,6808.0,5,2025.0,3158.05,sqft,2025.0,Flat,2025.0,-0.0936622170659471,3158.05
"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",23800000,8957.0,,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,1,4.0,3.0,Gurgaon, Bestech Altura,8957.0,4,2025.0,2657.14,sqft,2025.0,Flat,2025.0,-0.2425081731778638,2657.14
"4 BHK Flat for Sale in Hauz Khas, New Delhi",54900000,31371.0,,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5,4.0,0.0,Delhi, Hauz Khas,31371.0,4,2000.0,1750.02,sqft,2000.0,Flat,2000.0,0.7112706526665525,1750.02
"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",13500000,7297.0,,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3,3.0,2.0,Gurgaon, Ashiana Amarah,7297.0,3,1410.0,1850.08,sqft,1410.0,Flat,1410.0,-0.45889732590112664,1850.08
"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",41900000,11971.0,,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,2,5.0,2.0,Gurgaon, South City 1,11971.0,4,,3500.13,,,Flat,,0.1503815294172652,3500.13
"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",26000000,11818.0,,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,2,4.0,2.0,Gurgaon, Uppal Southend,11818.0,4,,2200.03,,,Flat,,0.13043722799156687,2200.03
"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",19000000,11176.0,,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,1,3.0,3.0,Gurgaon, Sushant Lok 3,11176.0,3,,1700.07,,,Flat,,0.04674937495040137,1700.07
"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",26000000,10833.0,,Ready to Move,4 out of 14,New Property,,"Garden/Park, Pool, Main Road",Freehold,0,4.0,4.0,Gurgaon, Luxurious Builder Floor,10833.0,4,,2400.07,,,Flat,,0.0020376403816789943,2400.07
"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",20500000,9762.0,,Ready to Move,,New Property,,,,0,3.0,0.0,Gurgaon, Uppal Southend,9762.0,3,,2099.98,,,Flat,,-0.13757246959820926,2099.98
"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",17200000,8536.0,,,,Resale,,,,0,3.0,0.0,Gurgaon, Bestech Altura,8536.0,3,,2015.0,,,Flat,,-0.29738759082635396,2015.0
"3 BHK Flat for Sale in Antriksh Grand View, Sector 150, Pusta Road, Noida",18500000,8222.0,C K Realty,Ready to Move,9 out of 19,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,1,4.0,6.0,Noida, Antriksh Grand View,8222.0,3,1350.0,2250.06,sqft,1350.0,Flat,1350.0,-0.040836380219552076,2250.06
"3 BHK Flat for Sale in Kishangarh, Vasant Kunj, New Delhi",8500000,6538.0,Nandi Realtors,Ready to Move,3 out of 5,New Property,East,"Garden/Park, Main Road",Freehold,2,3.0,1.0,Delhi, Kishangarh,6538.0,3,240.0,1300.09,sqft,240.0,Flat,240.0,-0.2601552255655951,1300.09
"3 BHK Flat for Sale in Vatika Sovereign Park, Sector 99, Gurgaon",29100000,10500.0,Shikhar Realty Services Pvt. Ltd.,Poss. by Apr '24,5 out of 12,New Property,South - East,"Garden/Park, Pool, Main Road",Freehold,2,4.0,3.0,Gurgaon, Vatika Sovereign Park,10500.0,3,2450.0,2771.43,sqft,2450.0,Flat,2450.0,-0.04137054507425265,2771.43
3 BHK House for Sale in Sector 45 Block A Gurgaon,21000000,15556.0,A N Builders & Promoters,Ready to Move,1 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,1,3.0,2.0,Gurgaon, Sector 45 Block A Gurgaon,15556.0,3,789.0,1349.96,sqft,789.0,House,789.0,0.6177038863527454,1349.96
"3 BHK Flat for Sale in Paramount Emotions, Noida Extension, Noida",7700000,5580.0,Piyush Ahuja,Ready to Move,1 out of 19,Resale,North - East,Main Road,Leasehold,1,2.0,5.0,Noida, Paramount Emotions,5580.0,3,750.0,1379.93,sqft,750.0,Flat,750.0,-0.1395392521772435,1379.93
"3 BHK Villa for Sale in DLF City Phase 1, DLF City Phase 1 Gurgaon",60000000,21429.0,Infinity Investments,Ready to Move,7 out of 20,Resale,North - West,Main Road,Freehold,1,3.0,3.0,Gurgaon, DLF City Phase 1,21429.0,3,1350.0,2799.94,sqft,1350.0,Villa,1350.0,1.383278280294747,2799.94
"3 BHK Flat for Sale in Capital Athena, Sector 1 Greater Noida West, Greater Noida",10600000,8218.0,Bhoomi Zone,Ready to Move,2 out of 4,New Property,North - East,"Pool, Garden/Park",Freehold,1,3.0,3.0,Noida, Capital Athena,8218.0,3,1550.0,1289.85,sqft,1550.0,Flat,1550.0,-0.040985816816005806,1289.85
"2 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",16600000,14500.0,AR Realtors ,Poss. by Jan '24,1 out of 14,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,2,2.0,2.0,Gurgaon, Smart World Orchard,14500.0,2,163.0,1144.83,sqyrd,163.0,Flat,1467.0,0.4800491000420433,1144.83
"3 BHK Flat for Sale in Emaar Emerald Estate, Sector 65, Gurgaon",17500000,11667.0,Shokeen Estates,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1,3.0,3.0,Gurgaon, Emaar Emerald Estate,11667.0,3,2048.0,1499.96,sqft,2048.0,Flat,2048.0,0.11075363638842671,1499.96
"4 BHK Flat for Sale in RWA Sector 57, Sector 57 Block G, Golf Course Extension Road, Gurgaon",20000000,7407.0,Maakriti Realtors Private Limited,Ready to Move,10 out of 14,Resale,North - East,"Garden/Park, Main Road",Freehold,5,3.0,3.0,Gurgaon, RWA Sector 57,7407.0,4,1100.0,2700.15,sqft,1100.0,Flat,1100.0,-0.4445582856604285,2700.15
"4 BHK Flat for Sale in Corona Optus, Sector 37C, Delhi Gurgaon Expressway, Gurgaon",17500000,6331.0,Arun Singhal,Ready to Move,2 out of 3,Resale,East,"Garden/Park, Pool, Main Road",Freehold,1,6.0,4.0,Gurgaon, Corona Optus,6331.0,4,2200.0,2764.18,sqft,2200.0,Flat,2200.0,-0.5848201701967121,2764.18
5 BHK House for Sale in Sector 28 Gurgaon,41000000,7178.0,Shree Home Solution,Ready to Move,15 out of 17,Resale,East,"Garden/Park, Main Road",Freehold,1,3.0,3.0,Gurgaon, Sector 28 Gurgaon,7178.0,5,3469.0,5711.9,sqft,3469.0,House,3469.0,-0.4744095603433364,5711.9
"3 BHK Flat for Sale in Siddhartha Vihar, NH 24, Ghaziabad",14700000,3928.0,Space & Services Venture (Regd.),Poss. by Mar '26,1 out of 4,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,3.0,5.0,Ghaziabad, Siddhartha Vihar,3928.0,3,1500.0,3742.36,sqft,1500.0,Flat,1500.0,-0.5897959778941102,3742.36
"2 BHK Flat for Sale in RPS Savana, Sector 88, Faridabad",5000000,6029.0,Grow Up Investors,Ready to Move,3 out of 4,Resale,East,Main Road,Freehold,2,2.0,2.0,Faridabad, RPS Savana,6029.0,2,1750.0,829.32,sqft,1750.0,Flat,1750.0,-0.16924620988415925,829.32
"5 BHK Flat for Sale in Rajendra Nagar, Ghaziabad",20500000,10331.0,Happy Homez,Ready to Move,19 out of 28,New Property,North - East,Garden/Park,Freehold,1,4.0,4.0,Ghaziabad, Rajendra Nagar,10331.0,5,2300.0,1984.32,sqft,2300.0,Flat,2300.0,0.7063827750221574,1984.32
"4 BHK Flat for Sale in All Punjabi Welfare Association, Sector 23, Gurgaon",26500000,17584.0,Anantham Infra Pvt Ltd,Ready to Move,4 out of 20,New Property,North - East,"Garden/Park, Main Road",Freehold,1,4.0,2.0,Gurgaon, All Punjabi Welfare Association,17584.0,4,1593.0,1507.05,sqft,1593.0,Flat,1593.0,0.8820636464267075,1507.05
"3 BHK Flat for Sale in M3M Golf Estate, Sector 65, Gurgaon",61000000,7035.0,Shiv Shakti Properties,Ready to Move,4 out of 7,Resale,East,"Garden/Park, Pool, Main Road",Freehold,2,4.0,3.0,Gurgaon, M3M Golf Estate,7035.0,3,360.0,8670.93,sqft,360.0,Flat,360.0,-0.49305031265624405,8670.93
"3 BHK Flat for Sale in Ramprastha Primera, Garauli Khurd, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",12100000,12513.0,Happy Homes Properties and Builders,Ready to Move,2 out of 10,New Property,East,"Garden/Park, Pool, Main Road",Freehold,1,2.0,3.0,Gurgaon, Ramprastha Primera,12513.0,3,1350.0,966.99,sqft,1350.0,Flat,1350.0,0.2210338913305233,966.99
"3 BHK Flat for Sale in Kesarwani Apartment, Dwarka Sector 5, New Delhi",24400000,15400.0,Unistar Estates Pvt. Ltd.,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,1,3.0,5.0,Delhi, Kesarwani Apartment,15400.0,3,1500.0,1584.42,sqft,1500.0,Flat,1500.0,0.08651155383654287,1584.42
"4 BHK Flat for Sale in Guru Apartment, Dwarka Sector 6, New Delhi",38500000,10511.0,,Ready to Move,1 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,1,4.0,2.0,Delhi, Guru Apartment,10511.0,4,800.0,3662.83,sqft,800.0,Flat,800.0,-0.10473803818524144,3662.83
"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",17500000,5753.0,,Poss. by Feb '26,1 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,1,3.0,1.0,Gurgaon, MRG Crown,5753.0,3,715.0,3041.89,sqft,715.0,Flat,715.0,-0.6601653089160169,3041.89
"1 BHK Flat for Sale in Uttam Nagar, New Delhi",2100000,5759.0,,Ready to Move,4 out of 28,New Property,North,Main Road,Freehold,1,2.0,2.0,Delhi, Uttam Nagar,5759.0,1,1444.0,364.65,sqft,1444.0,Flat,1444.0,-0.2906284168490825,364.65
"3 BHK Flat for Sale in Indirapuram, Ghaziabad",8350000,15312.0,,Ready to Move,1 out of 4,New Property,East,Main Road,Freehold,2,2.0,3.0,Ghaziabad, Indirapuram,15312.0,3,1900.0,545.32,sqft,1900.0,Flat,1900.0,1.7147017455478373,545.32
"3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",24500000,5000.0,,Ready to Move,3 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,0,3.0,1.0,Delhi, DLF Capital Greens 1 and 2,5000.0,3,360.0,4900.0,sqft,360.0,Flat,360.0,-0.32031924121900157,4900.0
"2 BHK Flat for Sale in Shakti Khand, Indirapuram, Ghaziabad",4500000,3765.0,,Ready to Move,3 out of 9,New Property,East,Main Road,Freehold,0,2.0,1.0,Ghaziabad, Shakti Khand,3765.0,2,3500.0,1195.22,sqft,3500.0,Flat,3500.0,-0.6227925633580103,1195.22
"2 BHK Flat for Sale in Prestige Apartments, Chhattarpur, New Delhi",3200000,10529.0,,Ready to Move,16 out of 20,New Property,East,Main Road,Freehold,0,2.0,2.0,Delhi, Prestige Apartments,10529.0,2,,303.92,,,Flat,,-0.10403390796302991,303.92
